NP_type,Coating,core_size_nm,hydro_size_nm,Surf_charge_mV,Surface_area_m2_g,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,Viability
CdSe,None,4.6,,,,,7.17,1.0,MC3T3-E1,Mouse,Bone,Preosteoblast,neonate,Normal,,Others,,quantum_dots,86.0
CdSe,None,5.2,,,,,0.0,24.0,Neuro­2a,Mouse,Brain,Neural,Adult,cancer,,LDH,LDHrelease,quantum_dots,10.83
QDs,SGF,6.0,,,,,0.84,24.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,70.73
Cu2O,None,88.5,,,,,0.0,8.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,NR,toluylene red,meta_oxide,113.02
Ag,None,29.57,,-24.58,,Sphere,25.0,48.0,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,Alamar_Blue,AlamarBlue,other,61.9
Pt,PVP,4.0,13.5,-8.0,,,0.0,72.0,IMR90,Human,Lung,Fibroblast,neonate,Normal,female,CellTiter_Glo,luciferase,other,92.64
Al2O3,None,39.7,267.0,36.3,64.7,,20.0,24.0,HCMEC,Human,Heart,Endothelial,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,92.27
CdSe,None,2.2,,,,,0.19,12.0,JB6,Human,Blood,Lymphocyte,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,94.3
Polystyrene,COOH,50.0,57.14,-16.3,,Sphere,50.0,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,CCK_8,TetrazoliumSalt,other,99.07
CdTe,None,2.6,,,,,3.0,24.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,35.0
TiO2,None,148.15,,-14.55,,Irregular,8.0,48.0,A431,Human,Skin,Epithelial,Adult,cancer,female,NR,toluylene red,meta_oxide,74.95
PTFE-PMMA,None,851.05,,-5.25,,Irregular,200.0,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,Alamar_Blue,AlamarBlue,other,66.52
