Model,MSE,R² Score,Saved
Ensemble Stack,442.5486983049941,0.579967641165432,Yes
RF,442.73122481225,0.5797944013848471,Yes
RF(default),471.5396352444444,0.5524517278339927,No
Ensemble AVG,503.88463896331297,0.5217523985611131,No
MLP,640.089710715233,0.3924772751852843,Yes
KNN,640.5922255438984,0.3920003276998615,Yes
XGBoost,702.6405057619222,0.3331089885061729,Yes
Lasso,783.3915895331339,0.2564664216547067,Yes
Elastic Net,783.4414679117692,0.25641908102730615,No
Ridge,784.210216327657,0.25568944559574247,No
SVR,972.290282497747,0.07717866441897869,No
